시도명,시군구명,위치,지번주소,위도,경도,데이터기준일자
강원도,홍천군,마곡리 어부의집 전,강원도 홍천군 서면 마곡리 26-10,,,2022-07-20
강원도,홍천군,모곡유원지 건너편,강원도 홍천군 서면 모곡리 1434-9,,,2022-07-20
강원도,홍천군,밤벌유원지 하천진입로,강원도 홍천군 서면 모곡리 529-1,,,2022-07-20
강원도,홍천군,밤벌집펜션 앞,강원도 홍천군 서면 모곡리 529-9,,,2022-07-20
강원도,홍천군,꿈에본 펜션 앞,강원도 홍천군 서면 모곡리 529-7,,,2022-07-20
강원도,홍천군,상세위치 없음,강원도 홍천군 서면 모곡리 5-6,,,2022-07-20
강원도,홍천군,상세위치 없음,강원도 홍천군 서면 모곡리 산234-1,,,2022-07-20
강원도,홍천군,상세위치 없음,강원도 홍천군 서면 한서로 1064-12,,,2022-07-20
강원도,홍천군,시골집민박,강원도 홍천군 서면 개야강변길 62-2,,,2022-07-20
강원도,홍천군,상세위치 없음,강원도 홍천군 서면 반곡리 542,,,2022-07-20
강원도,홍천군,밤벌캠핑장 안쪽,강원도 홍천군 서면 반곡리 3-64,,,2022-07-20
강원도,홍천군,곰펜션 앞,강원도 홍천군 서면 어유포리 산77-2,,,2022-07-20
강원도,홍천군,상세위치 없음,강원도 홍천군 서면 어유포리 272-3,,,2022-07-20
강원도,홍천군,어부의 집 전,강원도 홍천군 서면 팔봉리 975,,,2022-07-20
강원도,홍천군,리버사이드 앞 되롱골,강원도 홍천군 서면 팔봉리 149-1,,,2022-07-20
강원도,홍천군,별이 빛나는 밤,강원도 홍천군 서면 팔봉리 10-2,,,2022-07-20
강원도,춘천시,상규교,강원도 춘천시 사북면 오탄리 567-5,38.049853,127.609527,2022-07-26
강원도,춘천시,오월2리 종점,강원도 춘천시 사북면 오탄리 959-17,38.052721,127.581413,2022-07-26
강원도,춘천시,현지사 강변가든,강원도 춘천시 사북면 지촌리 40-1,38.051367,127.65276,2022-07-26
강원도,춘천시,우레골,강원도 춘천시 사북면 오탄리 707,38.046483,127.604213,2022-07-26
강원도,춘천시,마평교,강원도 춘천시 사북면 원평리 587-2,38.002175,127.627349,2022-07-26
