강원도,춘천시,현지사 강변가든,강원도 춘천시 사북면 지촌리 40-1,38.0513294,127.6527204,2022-07-26
강원도,춘천시,우레골,강원도 춘천시 사북면 오탄리 707,38.0464407,127.6042656,2022-07-26
강원도,춘천시,마평교,강원도 춘천시 사북면 원평리 587-2,38.0021428,127.6273259,2022-07-26
강원도,춘천시,오월유원지,강원도 춘천시 사북면 지암리 2-16,37.9797228,127.6423102,2022-07-26
강원도,춘천시,오월막국수 인근,강원도 춘천시 서면 오월리 163-2,37.9829903,127.6442534,2022-07-26
강원도,춘천시,덕두원유원지,강원도 춘천시 서면 덕두원리 165-6,37.8524671,127.6694392,2022-07-26
강원도,춘천시,팔미천 팔미교,강원도 춘천시 신동면 팔미리 461-14,37.8231149,127.6922859,2022-07-26
강원도,춘천시,대평교,강원도 춘천시 신동면 증리 1043-72,37.8066254,127.709782,2022-07-26
강원도,춘천시,삼포유원지,강원도 춘천시 신동면 증리 131-4,37.7979971,127.7141943,2022-07-26
강원도,춘천시,강촌유원지,강원도 춘천시 남산면 강촌리 224-2,37.8154154,127.6339159,2022-07-26
강원도,춘천시,삽당골,강원도 춘천시 남산면 산수리 411,37.6953222,127.6496465,2022-07-26
강원도,춘천시,반곡교,강원도 춘천시 남산면 산수리 346-1,37.6971116,127.6709182,2022-07-26
강원도,춘천시,두미교,강원도 춘천시 남산면 산수리 455,37.6825444,127.6496601,2022-07-26
강원도,춘천시,한덕교,강원도 춘천시 남면 한덕리 603-2,37.6767293,127.6112075,2022-07-26
강원도,원주시,취병유원지,강원도 원주시 문막읍 건등리 1077-1,37.3267096,127.8049375,2022-07-22
강원도,원주시,산현교 A,강원도 원주시 호저면 산현리 630,37.4360609,127.8883305,2022-07-22
강원도,원주시,산현교 B,강원도 원주시 호저면 산현리 655-1,37.4366581,127.8880663,2022-07-22
강원도,원주시,칠봉교,강원도 원주시 호저면 산현리 520,37.4402991,127.8887683,2022-07-22
강원도,원주시,봉바위돌집,강원도 원주시 호저면 용곡리 546-1,37.4523878,127.8912517,2022-07-22
강원도,원주시,상용곡교,강원도 원주시 호저면 용곡리 437-5,37.4584017,127.8942328,2022-07-22
강원도,원주시,물가애농원,강원도 원주시 호저면 용곡리 산20번지,37.4661668,127.9032058,2022-07-22
강원도,원주시,원대교,강원도 원주시 지정면 판대리 675,37.3685174,127.8060983,2022-07-22
강원도,원주시,삼봉쉼터 빙벽,강원도 원주시 지정면 판대리 193,37.3701093,127.7967717,2022-07-22
